Cluster 21: 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,31,39,41,29,26,28,45,32,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,720,NEUTRAL
Cluster 22: 55,145,207,132,74,32,21,14,8,5,5,1,2,3,0,1,1,1,2,4,4,3,2,3,4,4,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286,SAD
Cluster 23: 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,38,6,9,8,7,4,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,915,FEAR
Cluster 24: 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,47,49,48,62,69,69,54,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,593,HAPPY
Cluster 25: 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,24,43,45,62,63,67,64,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,643,NEUTRAL
Cluster 26: 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,22,38,39,57,58,57,55,48,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,636,SUPRISED
Cluster 27: 14,4,4,5,8,11,16,13,4,7,9,7,5,9,0,1,3,2,3,2,2,2,8,5,6,4,10,5,8,9,8,8,18,17,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,HAPPY
Cluster 28: 11,2,4,1,2,3,3,3,0,1,2,3,1,0,1,0,1,0,1,1,1,0,0,0,0,1,0,1,0,1,1,1,0,0,2,4,2,7,6,1,12,12,8,15,15,26,20,19,17,12,4,3,4,2,0,0,0,0,787,HAPPY
Cluster 29: 78,159,109,76,22,8,8,11,4,3,2,1,2,4,3,2,4,2,5,6,3,6,3,7,6,2,1,0,3,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,479,NEUTRAL
Cluster 30: 2,2,9,17,20,9,12,9,7,6,13,8,11,22,14,11,19,3,10,13,13,9,17,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,758,SAD
Cluster 31: 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,19,3,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,992,DISTINGUISH
